deployment_id,deployment_type,workload_type,cpu_cores,memory_gb,cpu_utilization,memory_utilization,startup_time_seconds,overhead_factor,datacenter_location,pue,renewable_energy_pct,deployment_duration_hours,auto_scaling_enabled,scale_events_per_day,network_io_gbps,storage_io_iops,storage_type,energy_consumption_kwh,carbon_emissions_kg_co2eq,resource_efficiency_score,month_deployed,cost_per_hour_usd
deploy_00067,container,database,1,1,0.507,0.828,8.86,0.06,EU_Central,1.51,0.809,7570.21,False,0.0,0.835,2557.9,ssd,141.728,9.002,73.32,6,0.0744
deploy_00068,vm,ml_training,16,1,,0.818,14.47,0.232,Australia,1.41,0.181,1174.14,False,0.0,1.544,7302.3,hdd,331.4956,174.1938,65.68,6,0.8536
deploy_00069,vm,database,2,64,0.467,0.6,22.46,0.18,Nordic,1.33,0.13,341.85,False,0.0,0.363,8059.3,nvme,53.457,4.6248,61.29,8,
deploy_00070,vm,batch_processing,8,16,0.927,0.377,27.47,0.226,Australia,1.43,0.774,7639.72,True,7.0,1.662,6009.4,hdd,1929.1566,,71.61,11,
deploy_00071,vm,api_gateway,2,64,0.277,0.384,66.08,0.382,Canada,1.2,0.253,4396.44,False,0.0,1.833,8740.9,nvme,569.3751,63.8054,41.13,12,0.8079
deploy_00072,vm,microservice,2,16,0.106,0.224,44.06,0.206,Nordic,1.15,0.324,8247.47,False,0.0,2.051,7734.6,nvme,265.9758,17.9833,34.81,4,
deploy_00073,container,data_processing,8,16,0.86,0.9,0.85,0.04,Canada,1.38,0.459,1770.91,False,0.0,0.513,9336.9,nvme,348.091,28.2314,,5,0.6195
deploy_00074,vm,streaming,8,8,0.377,0.341,42.03,0.27,Australia,1.59,0.823,2814.11,True,4.0,1.292,9088.6,ssd,434.6814,53.8766,47.23,11,0.5766
deploy_00075,container,web_service,4,2,0.735,0.432,9.33,0.004,EU_Central,1.38,0.313,8664.52,False,0.0,0.185,8903.7,ssd,624.7894,150.1385,72.26,9,0.3107
deploy_00076,vm,batch_processing,8,2,0.95,0.634,10.46,0.343,US_West,1.36,0.836,4183.02,True,9.0,45.062,167.6,hdd,913.2825,44.8612,76.75,4,0.5099
deploy_00077,container,ml_training,4,8,0.95,0.772,1.72,0.047,US_West,1.2,0.818,4189.4,False,0.0,0.084,7502.6,nvme,411.4012,21.0602,89.75,6,0.3408
deploy_00078,container,cache_service,2,4,0.332,0.842,4.51,0.024,EU_Central,1.2,0.741,3871.08,True,3.0,0.676,,hdd,96.2645,,67.83,2,0.1566
deploy_00079,container,cache_service,1,2,0.405,0.9,1.85,0.087,Asia_Pacific,1.61,0.124,3582.27,True,2.0,0.302,7681.7,nvme,69.6541,36.6185,70.61,11,0.1154
deploy_00080,container,web_service,1,16,0.555,0.56,3.21,0.053,Asia_Pacific,1.5,0.605,4769.8,False,0.0,0.964,,ssd,257.3278,57.8459,,8,0.2738
deploy_00081,container,microservice,32,1,0.373,0.418,0.61,0.039,Asia_Pacific,1.76,0.429,4728.76,True,4.0,0.19,1487.3,hdd,2712.6305,928.9857,56.27,4,1.6992
deploy_00082,vm,cache_service,8,1,0.1,0.764,59.47,0.17,EU_Central,1.34,0.806,5881.29,False,0.0,2.207,6993.5,hdd,404.4027,27.4321,51.82,3,0.4429
deploy_00083,container,streaming,4,2,,0.571,1.01,0.049,Nordic,1.29,0.643,1669.43,False,0.0,6.735,3834.0,nvme,86.4076,3.081,62.61,10,0.2972
deploy_00084,container,microservice,8,8,0.477,0.348,0.56,0.052,Nordic,1.19,0.341,2480.32,False,0.0,2.119,5383.1,hdd,279.5149,18.4141,57.94,5,0.5135
deploy_00085,vm,ml_training,2,8,0.543,0.584,16.97,0.257,EU_Central,1.39,0.273,4991.79,True,6.0,0.082,5043.1,nvme,273.8393,69.725,61.57,11,0.2762
deploy_00086,container,web_service,1,64,0.903,0.381,1.93,0.034,US_West,1.14,0.732,,True,7.0,,190.5,nvme,335.4227,25.711,,8,0.7732
deploy_00087,container,batch_processing,1,4,0.95,0.865,2.16,0.053,US_West,1.52,0.244,4612.23,False,0.0,2.741,2746.5,hdd,163.3652,37.0537,92.35,2,
deploy_00088,container,batch_processing,8,64,0.683,0.75,5.9,0.05,Canada,,0.688,4957.34,True,2.0,0.087,,ssd,1290.9856,60.3635,78.3,4,1.1028
deploy_00089,vm,batch_processing,4,4,0.764,0.9,54.26,0.257,Nordic,1.23,0.28,7311.7,False,0.0,4.367,6802.6,nvme,693.135,46.0452,79.85,6,0.3372
deploy_00090,vm,streaming,8,8,0.774,0.1,28.29,0.098,EU_Central,1.32,0.515,3289.37,True,4.0,1.347,6829.0,nvme,560.1856,,61.03,7,0.5224
deploy_00091,container,batch_processing,2,64,0.95,0.635,3.77,0.103,Asia_Pacific,1.51,0.518,4489.47,True,1.0,1.308,360.0,hdd,1139.3536,329.6796,83.97,9,0.7625
deploy_00092,vm,database,1,4,0.421,0.232,11.32,0.405,Asia_Pacific,1.49,0.307,2626.53,True,3.0,0.949,3675.1,ssd,75.4825,31.3869,41.67,12,0.1877
deploy_00093,vm,microservice,8,32,0.176,0.629,17.07,0.24,US_West,1.35,0.823,8486.06,False,0.0,0.196,7375.3,nvme,1184.7966,,48.71,8,0.8149
deploy_00094,vm,batch_processing,8,128,0.1,0.9,12.4,0.194,US_West,1.36,0.575,2120.86,True,,0.101,7180.8,hdd,479.8678,61.1829,55.18,2,1.6998
deploy_00095,vm,database,32,1,0.305,0.9,10.86,0.211,Nordic,1.09,0.838,5934.98,False,0.0,4.854,9671.4,hdd,1959.3808,29.8972,62.87,7,1.6634
deploy_00096,container,batch_processing,32,4,0.852,0.846,1.65,0.022,EU_Central,,0.334,,True,2.0,6.577,5259.0,hdd,2577.6805,582.2371,88.83,8,1.6997
deploy_00097,vm,streaming,2,64,0.444,0.363,29.39,,Canada,1.35,0.238,5610.95,False,0.0,3.675,4016.3,nvme,841.5025,96.141,54.19,10,0.7603
deploy_00098,vm,cache_service,32,32,0.26,0.366,10.62,0.247,Nordic,1.21,0.391,3439.29,True,11.0,4.944,3544.5,hdd,1355.7441,82.4998,43.98,10,1.9817
deploy_00099,vm,cache_service,32,4,0.16,0.734,,0.177,Nordic,1.1,0.225,2530.9,True,2.0,0.207,3214.3,hdd,624.7018,48.4051,53.07,10,1.6528
deploy_00100,vm,web_service,4,8,0.458,0.673,16.16,0.12,Nordic,1.18,,6839.5,False,0.0,0.29,5542.3,ssd,427.4772,29.2179,64.89,10,0.3799
deploy_00101,vm,batch_processing,8,2,0.95,0.425,14.57,0.213,Australia,1.5,0.709,1839.32,False,0.0,1.543,8624.4,nvme,400.3627,81.5772,74.34,11,0.4763
deploy_00102,container,database,8,1,0.799,0.819,1.25,0.039,EU_Central,1.41,0.75,1112.41,True,6.0,0.393,2571.8,nvme,183.6878,14.887,85.35,6,0.5043
deploy_00103,vm,data_processing,16,1,0.369,0.349,52.3,0.238,Australia,1.38,0.681,6418.93,False,0.0,0.348,6384.9,nvme,1624.1414,330.9709,48.08,6,
deploy_00104,vm,web_service,1,4,0.616,0.252,62.48,0.213,Asia_Pacific,1.44,0.442,8688.51,False,0.0,0.559,2103.0,nvme,255.0442,85.3293,55.81,3,0.1386
deploy_00105,container,web_service,2,128,0.636,0.608,3.69,0.033,US_East,1.41,0.2,1982.21,False,0.0,0.073,191.9,nvme,631.0965,197.1705,72.71,6,1.402
deploy_00106,container,batch_processing,16,1,0.95,0.635,2.55,0.04,Nordic,1.22,0.588,3855.83,True,8.0,1.433,6318.0,ssd,1208.5435,47.202,85.85,7,0.8741
deploy_00107,vm,web_service,32,16,0.615,0.474,60.49,0.266,US_West,1.35,0.488,4463.91,False,0.0,4.953,3025.9,ssd,2853.9826,438.1047,60.85,4,1.8386
deploy_00108,container,web_service,16,2,0.795,0.759,1.02,0.063,US_East,1.36,0.297,349.84,True,5.0,0.286,9491.9,hdd,105.9662,29.813,82.7,9,0.8594
deploy_00109,container,ml_training,32,64,0.95,0.561,12.42,0.023,Canada,1.32,0.815,2091.22,True,7.0,2.489,953.5,hdd,1662.3277,46.1119,84.16,2,2.265
deploy_00110,vm,batch_processing,1,32,0.646,0.482,18.95,0.216,Australia,1.41,0.422,4589.44,False,0.0,1.299,7152.0,nvme,468.4907,189.5535,,11,0.4577
deploy_00111,vm,data_processing,8,4,0.1,0.784,34.25,0.155,US_West,1.34,0.798,7511.71,False,0.0,10.468,,ssd,576.5685,33.2569,52.85,7,0.5196
deploy_00112,container,cache_service,8,1,0.269,0.9,1.46,0.025,EU_Central,1.33,0.251,4939.38,False,0.0,2.646,,ssd,430.2998,105.5184,67.02,8,0.4209
deploy_00113,vm,ml_training,1,8,0.95,,17.98,0.252,Nordic,1.19,0.837,3678.17,True,7.0,0.153,9728.3,ssd,163.9485,2.6668,87.44,12,0.1456
deploy_00114,container,microservice,4,16,0.563,0.48,10.84,0.072,Australia,1.48,0.336,7015.35,False,0.0,0.708,3248.8,hdd,805.7844,374.3838,64.75,4,0.3808
deploy_00115,vm,web_service,2,32,0.568,0.481,34.6,0.249,US_West,1.32,0.168,2175.15,False,0.0,2.897,4022.8,ssd,234.9198,58.6071,59.67,11,0.45
deploy_00116,vm,data_processing,32,2,0.513,0.899,13.12,0.23,Nordic,1.12,0.54,,True,3.0,0.092,315.8,ssd,3545.5641,163.2416,,4,1.6915
deploy_00117,container,database,4,16,0.534,0.82,2.32,0.07,Asia_Pacific,1.45,0.763,304.49,True,5.0,0.026,6508.1,hdd,,4.1856,73.87,7,0.4132
deploy_00118,vm,cache_service,4,64,0.219,0.899,34.07,0.107,EU_Central,1.4,0.235,2794.05,True,1.0,14.475,390.1,hdd,341.5973,91.4792,62.5,1,0.9018
deploy_00119,vm,data_processing,2,4,0.551,0.485,12.05,0.193,US_West,1.2,0.544,7062.6,False,0.0,0.656,9148.4,ssd,263.522,36.019,60.8,12,
deploy_00120,container,database,4,4,0.707,0.9,5.34,0.04,Australia,1.41,0.733,2835.31,True,3.0,15.15,1562.3,nvme,223.9845,41.8293,84.06,3,0.3365
deploy_00121,container,cache_service,32,32,0.361,0.9,5.35,0.064,US_West,1.4,0.599,7134.8,False,,0.448,3137.5,nvme,3204.8593,385.4016,69.52,5,2.0143
deploy_00122,container,microservice,4,32,0.548,0.515,2.31,0.058,US_West,,0.577,8436.61,False,0.0,0.574,4521.6,hdd,1275.5072,161.8083,65.63,4,0.5732
deploy_00123,container,database,8,2,0.311,0.847,5.18,0.05,Australia,1.66,0.734,2584.1,False,0.0,13.347,2685.2,ssd,289.5764,53.8539,66.34,2,0.4691
deploy_00124,vm,microservice,2,64,0.335,0.356,15.56,0.21,Canada,1.2,,8108.1,False,0.0,1.374,6639.9,hdd,994.3085,72.2488,47.81,4,0.8379
deploy_00125,container,ml_training,8,128,0.95,,4.4,0.04,Asia_Pacific,1.66,0.771,2322.17,False,0.0,0.159,1930.3,hdd,1482.9072,199.4791,93.31,6,1.7105
deploy_00126,vm,cache_service,8,128,0.253,0.9,24.43,0.192,Nordic,1.38,0.761,4172.58,True,7.0,7.887,4008.6,nvme,1196.4206,28.5657,61.38,1,1.7789
deploy_00127,container,ml_training,4,2,0.95,,7.69,0.039,US_East,1.33,0.391,3481.43,False,0.0,0.962,8580.6,nvme,319.6239,72.5237,89.32,8,0.3007
deploy_00128,vm,api_gateway,4,64,0.469,0.251,24.73,0.021,Canada,1.27,0.464,,True,5.0,5.268,1804.8,hdd,819.3166,65.8499,55.64,3,0.9259
deploy_00129,container,microservice,2,16,0.305,0.294,0.73,0.045,Canada,1.26,0.432,7234.39,False,0.0,0.146,7315.1,nvme,347.9207,29.6255,49.68,11,0.3172
deploy_00130,container,microservice,2,1,0.331,0.294,3.38,0.041,US_West,,0.125,443.85,False,0.0,2.184,7075.9,hdd,11.736,2.8679,50.8,6,0.1874
deploy_00131,vm,web_service,8,1,0.678,0.384,50.95,,US_West,1.32,0.74,,True,2.0,1.075,8585.4,nvme,,85.3929,60.19,4,0.4475
deploy_00132,vm,api_gateway,8,32,0.222,0.283,77.91,0.117,Asia_Pacific,1.51,0.289,4088.81,False,0.0,0.05,5886.4,ssd,577.6034,246.406,43.87,9,0.8157
deploy_00133,container,database,16,8,0.583,0.9,2.32,0.008,US_East,1.69,0.704,,False,0.0,0.271,6639.3,nvme,2175.972,257.5721,80.09,3,0.9606
deploy_00134,vm,cache_service,4,4,0.275,0.528,37.98,0.252,Australia,1.39,0.593,4890.69,False,0.0,17.655,1066.3,ssd,268.7599,76.53,49.32,12,0.2765
deploy_00135,vm,web_service,32,2,0.454,0.553,82.34,0.24,Asia_Pacific,1.5,0.767,4384.68,False,0.0,20.188,5345.4,hdd,2432.7072,339.991,57.56,1,1.6582
deploy_00136,vm,ml_training,2,4,0.95,0.738,31.13,,Nordic,1.32,0.673,4289.21,True,4.0,4.516,1381.1,hdd,,,81.49,11,0.1704
deploy_00137,vm,database,1,64,0.271,0.805,43.53,0.315,Nordic,1.18,0.542,1463.93,True,7.0,4.247,3052.2,hdd,157.2038,6.8625,55.54,8,0.7654
deploy_00138,container,cache_service,2,2,0.215,0.793,,0.032,EU_Central,1.51,,6939.24,False,0.0,0.097,8777.8,hdd,165.254,21.2076,61.45,9,0.1308
deploy_00139,container,cache_service,4,4,0.295,0.841,0.73,0.038,Asia_Pacific,1.66,0.723,919.94,True,,4.548,2898.8,ssd,56.1754,9.0924,,8,0.3104
deploy_00140,vm,database,1,2,0.1,0.9,29.07,,Canada,1.39,0.643,7925.96,True,4.0,2.33,4621.8,hdd,,4.119,59.38,5,0.0953
deploy_00141,vm,ml_training,32,2,0.822,0.596,12.67,0.244,EU_Central,1.18,0.711,1602.75,False,0.0,0.863,4062.5,hdd,997.6471,100.8341,73.43,5,1.6812
deploy_00142,vm,data_processing,16,1,0.243,0.283,50.62,0.047,Australia,,0.613,7345.74,True,4.0,2.282,4882.5,hdd,1304.2728,353.0097,46.81,2,0.8819
deploy_00143,vm,microservice,8,32,0.125,0.366,40.86,0.093,Canada,1.27,0.607,3372.13,True,5.0,0.245,215.3,ssd,332.6423,19.5982,43.18,9,0.8021
deploy_00144,vm,streaming,4,2,,0.478,33.01,0.204,Asia_Pacific,1.5,0.659,156.64,False,0.0,0.349,4182.2,nvme,13.3849,2.7391,63.2,9,0.2804
deploy_00145,vm,data_processing,32,128,0.341,0.211,55.79,0.34,US_East,1.37,0.173,5772.39,True,6.0,3.087,3479.4,nvme,4209.6886,1392.4341,39.76,5,2.9642
deploy_00146,vm,batch_processing,8,1,0.314,0.9,32.08,,Canada,1.18,0.728,5158.4,False,0.0,0.588,4628.1,nvme,477.6661,19.4816,62.28,9,0.4549
deploy_00147,vm,cache_service,8,64,0.282,0.9,29.78,0.33,Nordic,1.14,0.787,6678.64,False,0.0,0.128,4038.9,hdd,1187.1333,25.2939,58.37,5,1.0762
deploy_00148,container,database,16,32,0.816,0.777,2.18,0.083,Canada,1.35,0.187,3086.25,False,,5.239,5869.8,nvme,1192.8691,145.5502,83.49,12,1.1558
deploy_00149,container,ml_training,2,1,0.95,0.785,3.09,0.042,EU_Central,1.33,0.711,898.62,True,3.0,0.378,7449.9,nvme,39.4435,,90.28,7,0.1759
deploy_00150,vm,microservice,32,32,0.275,0.231,11.75,0.15,Australia,1.52,0.541,,True,9.0,0.677,7783.9,ssd,3031.0572,,43.44,5,
